x1,x2,y
0.23617,0.87500,1
0.22235,0.86038,1
0.19470,0.85015,1
0.17166,0.83406,1
0.17627,0.81944,1
0.18318,0.78728,1
0.16014,0.75365,1
0.11175,0.74781,1
0.08871,0.73903,1
0.09332,0.70102,1
0.12558,0.68348,1
0.16244,0.65424,1
0.12788,0.63085,1
0.13479,0.58845,1
0.18548,0.58845,1
0.19240,0.62500,1
0.13249,0.66447,1
0.10023,0.67032,1
0.07488,0.67178,1
0.07028,0.70541,1
0.09332,0.72149,1
0.10023,0.75219,1
0.06567,0.75950,1
0.08180,0.77412,1
0.09793,0.77412,1
0.82143,0.89693,1
0.85830,0.84576,1
0.81452,0.82091,1
0.78917,0.79898,1
0.79148,0.74927,1
0.37212,0.85161,0
0.35138,0.86330,0
0.30530,0.85453,0
0.32373,0.84137,0
0.28917,0.83406,0
0.27765,0.82968,0
0.29378,0.81067,0
0.29839,0.80190,0
0.31682,0.84137,0
0.35369,0.83406,0
0.35369,0.82383,0
0.30530,0.80483,0
0.29147,0.78436,0
0.26152,0.80044,0
0.26843,0.80044,0
0.27074,0.81652,0
0.24770,0.80629,0
0.25922,0.78143,0
0.26152,0.77851,0
0.23387,0.76243,0
0.22926,0.72588,0
0.26613,0.70687,0
0.30300,0.69664,0
0.29378,0.67909,0
0.26843,0.66155,0
0.28226,0.65278,0
0.31221,0.64401,0
0.34908,0.62646,0
0.35138,0.60599,0
0.37903,0.58114,0
0.42051,0.55336,0
0.37903,0.52997,0
0.34677,0.51828,0
0.33756,0.52558,0
0.34677,0.56506,0
0.36060,0.58406,0
0.31912,0.62061,0
0.32834,0.66886,0
0.33525,0.68202,0
0.30760,0.73026,0
0.30530,0.76389,0
0.31912,0.80921,0
0.33525,0.82091,0
0.36060,0.82822,0
0.38825,0.82237,0
0.40438,0.79898,0
0.41359,0.78874,0
0.37442,0.76828,0
0.36521,0.76535,0
0.36751,0.77705,0
0.36982,0.80044,0
0.34677,0.79898,0
0.33295,0.77997,0
0.33295,0.73903,0
0.35829,0.69079,0
0.35369,0.66155,0
0.36751,0.63962,0
0.39516,0.61769,0
0.38594,0.60892,0
0.43894,0.59137,0
0.42281,0.57237,0
0.45046,0.53436,0
0.46429,0.53874,0
0.47120,0.59137,0
0.46198,0.62939,0
0.43664,0.64839,0
0.40668,0.67617,0
0.37442,0.70249,0
0.35829,0.76243,0
0.36751,0.73903,0
0.40668,0.66740,0
0.42281,0.61184,0
0.48502,0.59868,0
0.48041,0.61477,0
0.50806,0.63231,0
0.51498,0.64985,0
0.52650,0.66009,0
0.55876,0.66740,0
0.57488,0.67471,0
0.59332,0.67617,0
0.64170,0.66155,0
0.67857,0.63962,0
0.70392,0.61623,0
0.72696,0.58699,0
0.73848,0.55775,0
0.77995,0.52851,0
0.78917,0.52705,0
0.78456,0.55629,0
0.78456,0.59722,0
0.75000,0.64254,0
0.73848,0.66155,0
0.72926,0.67325,0
0.67857,0.69371,0
0.66475,0.69664,0
0.59101,0.70687,0
0.54954,0.69225,0
0.53111,0.67471,0
0.49424,0.65424,0
0.44124,0.65278,0
0.42742,0.66886,0
0.39747,0.69810,0
0.39747,0.70249,0
0.46659,0.67617,0
0.50806,0.68202,0
0.50806,0.68494,0
0.54724,0.70541,0
0.58410,0.70979,0
0.61175,0.71418,0
0.66936,0.71126,0
0.63479,0.68348,0
0.71083,0.68494,0
0.69240,0.66447,0
0.74770,0.65570,0
0.72926,0.63231,0
0.73618,0.60746,0
0.74309,0.59430,0
0.77304,0.58260,0
0.74770,0.55336,0
0.76152,0.54313,0
0.80760,0.53728,0
0.81221,0.54605,0
0.83064,0.57675,0
0.82373,0.58553,0
0.79378,0.62500,0
0.77765,0.64108,0
0.75691,0.65278,0
0.74078,0.67178,0
0.72235,0.68640,0
0.65783,0.68640,0
0.64401,0.68640,0
0.59332,0.67471,0
0.54032,0.89985,1
0.62327,0.89547,1
0.65092,0.89108,1
0.69240,0.88231,1
0.63940,0.87792,1
0.54954,0.88670,1
0.54032,0.89254,1
0.56567,0.90863,1
0.63249,0.91594,1
0.70392,0.90716,1
0.75000,0.87500,1
0.80530,0.79313,1
0.83756,0.77997,1
0.86751,0.77558,1
0.90438,0.77266,1
0.95276,0.77412,1
0.97581,0.77705,1
0.96889,0.80190,1
0.92742,0.80336,1
0.88134,0.80044,1
0.85138,0.80629,1
0.80760,0.84576,1
0.80069,0.86623,1
0.86060,0.85015,1
0.90899,0.83699,1
0.92051,0.82675,1
0.95507,0.82237,1
0.96659,0.82237,1
0.96889,0.82091,1
0.89746,0.81944,1
0.85138,0.78874,1
0.85138,0.78582,1
0.85599,0.83991,1
0.82834,0.85015,1
0.60023,0.94079,1
0.60023,0.94079,1
0.48272,0.93056,1
0.25461,0.95102,1
0.22696,0.89985,1
0.16014,0.89108,1
0.17627,0.86038,1
0.11175,0.86623,1
0.07488,0.88523,1
0.05415,0.88377,1
0.04493,0.91447,1
0.11175,0.91301,1
0.10484,0.89693,1
0.15323,0.88523,1
0.19931,0.88377,1
0.06106,0.91155,1
0.05645,0.89693,1
0.07488,0.87939,1
0.09332,0.85892,1
0.35369,0.71418,0
0.30991,0.77412,0
0.27074,0.74488,0
0.30069,0.69810,0
0.39286,0.67325,0
0.40438,0.65424,0
0.42051,0.63816,0
0.44585,0.61623,0
0.46429,0.60453,0
0.37442,0.56360,0
0.42512,0.52851,0
0.36982,0.50950,0
0.48041,0.64254,0
0.42972,0.66886,0
0.55415,0.67909,0
0.62097,0.70541,0
0.61636,0.73903,0
0.66244,0.72295,0
0.68318,0.70541,0
0.69240,0.65132,0
0.72005,0.64108,0
0.72696,0.66740,0
0.68088,0.69517,0
0.65553,0.71126,0
0.62097,0.72295,0
0.59101,0.71857,0
0.56797,0.68786,0
0.56797,0.66155,0
0.56567,0.64839,0
0.62788,0.59137,1
0.56336,0.59576,1
0.61866,0.60015,1
0.60714,0.62208,1
0.58871,0.62061,1
0.57719,0.59430,1
0.58410,0.57675,1
0.61175,0.56652,1
0.62327,0.56214,1
0.62327,0.55775,1
0.59793,0.55483,1
0.55415,0.54751,1
0.54493,0.53582,1
0.54493,0.53290,1
0.57028,0.52851,1
0.59562,0.52705,1
0.59793,0.52705,1
0.63018,0.52997,1
0.65783,0.52997,1
0.70392,0.52705,1
0.70622,0.51681,1
0.70161,0.51097,1
0.66475,0.53582,1
0.64401,0.56360,1
0.64401,0.57529,1
0.64401,0.58845,1
0.63710,0.60746,1
0.63479,0.61623,1
0.58871,0.61915,1
0.55184,0.60746,1
0.56106,0.59430,1
0.57719,0.54167,1
0.55184,0.52266,1
0.54724,0.51097,1
0.54724,0.50804,1
0.59332,0.51681,1
0.66936,0.52266,1
0.67396,0.52412,1
0.66244,0.56652,1
0.66244,0.56652,1
0.64170,0.53582,1
0.66475,0.51681,1
0.57949,0.56214,1
0.54493,0.57091,1
0.54724,0.57822,1
0.60484,0.59576,1
0.65092,0.59576,1
0.38825,0.64547,0
0.36982,0.69371,0
0.31221,0.70687,0
0.31221,0.72880,0
0.27304,0.71272,0
0.30530,0.74050,0
0.31221,0.75365,0
0.25461,0.75658,0
0.28917,0.74196,0
0.27304,0.71710,0
0.29608,0.68786,0
0.34447,0.66594,0
0.36751,0.65132,0
0.39286,0.65278,0
0.38825,0.60892,0
0.40668,0.59137,0
0.39055,0.56360,0
0.40207,0.54167,0
0.35829,0.54313,0
0.33986,0.61184,0
0.35138,0.68933,0
0.30530,0.73319,0
0.24078,0.74927,0
0.28226,0.76535,0
0.48733,0.66740,0
0.51958,0.67763,0
0.58641,0.68640,0
0.63479,0.71272,0
0.64862,0.72880,0
0.66475,0.73026,0
0.69931,0.70102,0
0.75230,0.63377,0
0.78456,0.55190,0
0.80300,0.53874,0
0.83064,0.53290,0
0.60945,0.81652,0
0.61175,0.78582,0
0.57488,0.75658,0
0.54493,0.72734,0
0.55876,0.71857,0
0.58871,0.72295,0
0.59562,0.73319,0
0.60254,0.75219,0
0.57028,0.76535,0
0.56336,0.77705,0
0.57719,0.79605,0
0.60023,0.81360,0
0.61866,0.82529,0
0.64631,0.79605,0
0.63710,0.76535,0
0.64862,0.73903,0
0.65092,0.74342,0
0.66014,0.74196,0
0.66014,0.74050,0
0.66936,0.75219,0
0.63479,0.78290,0
0.60254,0.77558,0
0.60484,0.77120,0
0.61636,0.75512,0
0.65783,0.74781,0
0.68088,0.74050,0
0.69700,0.70541,0
0.70852,0.67471,0
0.73618,0.64401,0
0.16475,0.81214,1
0.15092,0.84722,1
0.14170,0.81652,1
0.13479,0.84576,1
0.12788,0.87792,1
0.08410,0.86038,1
0.06797,0.82675,1
0.12327,0.79021,1
0.08180,0.80190,1
0.13710,0.76097,1
0.13710,0.71272,1
0.15092,0.74927,1
0.14862,0.67325,1
0.21313,0.62939,1
0.14170,0.59576,1
0.16936,0.62646,1
0.07719,0.62354,1
0.05645,0.68494,1
0.08641,0.74050,1
0.07028,0.76535,1
0.06336,0.82091,1
0.05415,0.76243,1
0.05184,0.69517,1
0.08180,0.64839,1
0.15323,0.59430,1
0.20852,0.58260,1
0.72926,0.69225,0
0.80530,0.69225,0
0.82834,0.69225,0
0.85599,0.68933,0
0.92742,0.67471,0
0.97581,0.64839,0
0.98042,0.63670,0
0.89977,0.62939,0
0.87212,0.62061,0
0.84908,0.64401,0
0.81452,0.65424,0
0.78456,0.67325,0
0.77535,0.68494,0
0.77535,0.68640,0
0.74539,0.69225,0
0.80991,0.67178,0
0.85830,0.67909,0
0.86290,0.66155,0
0.92281,0.65716,0
0.94124,0.63816,0
0.98963,0.63816,0
0.98733,0.64693,0
0.91820,0.67909,0
0.84217,0.67325,0
0.80991,0.65863,0
0.72696,0.70249,0
0.69009,0.70395,0
0.69009,0.72588,0
0.57949,0.73757,0
0.47350,0.68933,0
0.43433,0.67471,0
0.25000,0.68786,0
0.22465,0.72295,0
0.18088,0.69371,1
0.11866,0.57237,1
0.16475,0.54605,1
0.17166,0.52997,1
0.15553,0.49196,1
0.13249,0.54868,1
0.12558,0.58757,1
0.17857,0.57529,1
0.22235,0.54254,1
0.22926,0.56710,1
0.20161,0.62237,1
0.17396,0.62032,1
0.14170,0.53640,1
0.13710,0.50979,1
0.07719,0.57734,1
0.07488,0.59576,1
0.13249,0.56915,1
0.19240,0.54050,1
0.07488,0.54868,1
0.11636,0.54459,1
0.12558,0.67968,1
0.09101,0.76974,1
0.15092,0.86184,1
0.20392,0.92734,1
0.26613,0.93348,1
0.32143,0.93962,1
0.50576,0.85175,1
0.48272,0.81842,1
0.50806,0.81316,1
0.48502,0.79561,1
0.47811,0.77281,1
0.47811,0.74649,1
0.45968,0.74649,1
0.45968,0.76228,1
0.47811,0.78684,1
0.45968,0.80614,1
0.46198,0.83246,1
0.47350,0.87456,1
0.47581,0.91140,1
0.44816,0.90088,1
0.49654,0.85702,1
0.51498,0.81842,1
0.47811,0.77281,1
0.47581,0.73070,1
0.43664,0.75351,1
0.46889,0.76404,1
0.38364,0.48509,0
0.35369,0.47105,0
0.36982,0.45175,0
0.35599,0.43596,0
0.34447,0.42193,0
0.34908,0.41140,0
0.38134,0.42895,0
0.38134,0.45526,0
0.37903,0.49211,0
0.38594,0.51491,0
0.41590,0.53597,0
0.41359,0.51667,0
0.40438,0.50088,0
0.41129,0.47456,0
0.40438,0.45000,0
0.39516,0.43421,0
0.39747,0.42368,0
0.40899,0.41667,0
0.78917,0.52368,0
0.80760,0.48860,0
0.80530,0.47807,0
0.78456,0.44123,0
0.78226,0.42544,0
0.83064,0.42193,0
0.83986,0.44123,0
0.82373,0.46579,0
0.83986,0.49912,0
0.83986,0.52193,0
0.83295,0.55351,0
0.84217,0.57456,0
0.86060,0.58684,0
0.81221,0.51140,0
0.79839,0.50263,0
0.80300,0.47632,0
0.77535,0.42895,0
0.73618,0.41667,0
0.78226,0.46930,0
0.78226,0.46053,0
0.75922,0.45000,0
0.74539,0.45175,0
0.74078,0.44649,0
0.73387,0.43947,0
0.69931,0.44825,0
0.69700,0.46579,0
0.69240,0.46579,0
0.67627,0.46403,0
0.65783,0.45877,0
0.65783,0.45877,0
0.64401,0.45526,0
0.64862,0.43772,0
0.61866,0.42368,0
0.55876,0.41491,0
0.55415,0.41667,0
0.59101,0.44123,0
0.60945,0.44825,0
0.62097,0.47105,0
0.62788,0.47807,0
0.64401,0.47807,0
0.66244,0.47456,0
0.68088,0.47456,0
0.63249,0.47456,0
0.58871,0.45175,0
0.58180,0.43246,0
0.57028,0.41140,0
0.55876,0.40614,0
0.55415,0.49912,1
0.51498,0.51667,1
0.51037,0.50439,1
0.51728,0.49561,1
0.55415,0.49035,1
0.55415,0.47632,1
0.54032,0.47281,1
0.52880,0.48684,1
0.50346,0.48509,1
0.49194,0.46579,1
0.51728,0.46228,1
0.52650,0.45877,1
0.54032,0.43947,1
0.51728,0.43596,1
0.49654,0.42193,1
0.48963,0.41842,1
0.47350,0.41667,1
0.48733,0.44825,1
0.50806,0.45000,1
0.51498,0.48860,1
0.45046,0.45526,1
0.47581,0.43596,1
0.47350,0.42018,1
0.45737,0.41140,1
0.45046,0.40965,1
0.48733,0.45877,1
0.53341,0.53597,1
0.53802,0.57281,1
0.52880,0.53597,1
0.51267,0.49912,1
0.18548,0.51140,1
0.20852,0.52719,1
0.19009,0.52018,1
0.18779,0.49737,1
0.19009,0.47983,1
0.19701,0.45000,1
0.19470,0.42719,1
0.17627,0.40790,1
0.14631,0.40263,1
0.13249,0.44123,1
0.15783,0.46403,1
0.16475,0.46403,1
0.11866,0.48860,1
0.12788,0.50965,1
0.16014,0.46754,1
0.17396,0.43246,1
0.15783,0.42544,1
0.18318,0.42018,1
0.20622,0.47983,1
0.21544,0.51667,1
0.22696,0.53246,1
0.11636,0.52544,1
0.11636,0.48509,1
0.13710,0.45526,1
0.10023,0.44474,1
0.21313,0.48333,1
0.26152,0.53597,1
0.25230,0.55351,1
0.71083,0.98158,1
0.66244,0.96930,1
0.69470,0.98684,1
0.71544,0.95877,1
0.37212,0.98860,1
0.37442,0.96754,1
0.41590,0.97105,1
0.22696,0.79210,0
0.24770,0.83421,0
0.27304,0.85877,0
0.29147,0.86228,0
0.22235,0.81316,0
0.22465,0.79737,0
0.20392,0.77456,0
0.18548,0.75526,0
0.20622,0.72895,0
0.24539,0.72368,0
0.22235,0.70614,0
0.22696,0.69561,0
0.25922,0.68158,0
0.22465,0.66053,0
0.20392,0.64825,0
0.19931,0.65526,0
0.23387,0.69737,0
0.25691,0.72719,0
0.25461,0.66579,0
0.26613,0.64123,0
0.24309,0.63597,0
0.23387,0.61842,0
0.24078,0.61316,0
0.27304,0.62544,0
0.28917,0.62544,0
0.30300,0.61491,0
0.31912,0.60088,0
0.33756,0.58509,0
0.36290,0.54825,0
0.37442,0.52895,0
0.60484,0.84474,0
0.57028,0.81667,0
0.56336,0.80439,0
0.62327,0.81491,0
0.66475,0.80439,0
0.66475,0.78333,0
0.68779,0.74825,0
0.71774,0.71667,0
0.73848,0.70263,0
0.74078,0.73596,0
0.71083,0.73772,0
0.68548,0.76579,0
0.68318,0.77632,0
0.68779,0.80263,0
0.68779,0.82017,0
0.66936,0.83772,0
0.65553,0.84474,0
0.63940,0.81842,0
0.63940,0.83947,0
0.58410,0.83947,0
0.56336,0.79737,0
0.54724,0.77281,0
0.56797,0.84298,0
0.58180,0.86930,0
0.59562,0.87105,0
0.62558,0.86930,0
0.64862,0.85702,0
0.63710,0.83947,0
0.64170,0.80439,0
0.66705,0.85702,0
0.70622,0.82193,0
0.96198,0.57983,1
0.92742,0.59210,1
0.92742,0.57281,1
0.94816,0.56930,1
0.96198,0.55000,1
0.95737,0.55702,1
0.91590,0.55702,1
0.91590,0.55702,1
0.92281,0.52895,1
0.92512,0.51491,1
0.93664,0.49912,1
0.96889,0.49035,1
0.99885,0.51491,1
0.95968,0.54298,1
0.95507,0.52895,1
0.94124,0.50088,1
0.91820,0.48684,1
0.91129,0.48158,1
0.91359,0.46579,1
0.90668,0.44298,1
0.87903,0.42193,1
0.87442,0.40790,1
0.92742,0.40790,1
0.94816,0.41140,1
0.96198,0.41316,1
0.96659,0.42544,1
0.96659,0.43421,1
0.94816,0.43421,1
0.93433,0.43596,1
0.94816,0.46930,1
0.96429,0.47456,1
0.98963,0.45351,1
0.98733,0.43596,1
0.96659,0.51667,1
0.95968,0.55702,1
0.90438,0.56053,1
0.91590,0.52544,1
0.92281,0.49386,1
0.91129,0.45351,1
0.89055,0.44474,1
0.87442,0.50789,1
0.89746,0.52719,1
0.91359,0.53772,1
0.96889,0.56579,1
0.98502,0.57983,1
0.99424,0.51667,1
0.96429,0.47281,1
0.97581,0.43947,1
0.98963,0.42544,1
0.99654,0.41491,1
